&Data
   Name = 'NuTeV dimuon cross-sections'
   IndexDataset = 84
   Reaction  = 'CC ppbar'

   TermName = 'D'
   TermSource = 'Dummy'
   TheorExpr= 'D'

   NDATA = 90
   NColumn = 6
   ColumnType = 'Flag',2*'Bin','Sigma',2*'Error'
   ColumnName = 'binFlag','x','Q2','sigma','stat', 'sys'
   Percent   = 2*false
&End
*flag   x       Q2      sigma      stat      sys
1     0.021     1.128    0.4487    0.0790    0.0499
1     0.057     3.062    0.5292    0.0918    0.0381
1     0.101     5.425    0.4147    0.0672    0.0352
1     0.167     8.971    0.3248    0.0505    0.0196
1     0.326    17.512    0.1440    0.0204    0.0099
1     0.021     1.943    0.7856    0.1108    0.0668
1     0.057     5.273    0.7980    0.1050    0.0602
1     0.101     9.344    0.7831    0.1027    0.0473
1     0.167    15.450    0.5053    0.0642    0.0291
1     0.326    30.159    0.2283    0.0299    0.0123
1     0.021     2.684    0.7689    0.1131    0.0675
1     0.057     7.286    0.9112    0.1285    0.0338
1     0.101    12.911    0.8642    0.1240    0.0394
1     0.167    21.347    0.6941    0.1047    0.0315
1     0.326    41.672    0.2171    0.0367    0.0092
1     0.021     2.227    1.1581    0.1715    0.0766
1     0.057     6.044    0.8609    0.1223    0.0693
1     0.101    10.710    0.8536    0.1265    0.0323
1     0.167    17.709    0.5656    0.0798    0.0337
1     0.326    34.569    0.2545    0.0336    0.0154
1     0.021     3.835    1.4338    0.2169    0.0939
1     0.057    10.410    1.3506    0.2051    0.0761
1     0.101    18.445    1.1963    0.1899    0.0472
1     0.167    30.499    0.7624    0.1189    0.0380
1     0.326    59.536    0.2815    0.0427    0.0200
1     0.021     5.299    1.5197    0.2043    0.0725
1     0.057    14.383    1.2397    0.1631    0.0680
1     0.101    25.486    1.0748    0.1493    0.0621
1     0.167    42.141    0.8417    0.1301    0.0410
1     0.326    82.263    0.3081    0.0530    0.0147
1     0.021     3.156    1.3837    0.1989    0.0862
1     0.057     8.566    1.4300    0.2144    0.0451
1     0.101    15.178    1.0336    0.1499    0.0430
1     0.167    25.097    0.7617    0.1072    0.0466
1     0.326    48.991    0.2833    0.0345    0.0247
1     0.021     5.435    1.6596    0.2650    0.0788
1     0.057    14.752    1.5574    0.2548    0.0960
1     0.101    26.140    1.1250    0.1826    0.0514
1     0.167    43.222    0.7274    0.1150    0.0460
1     0.326    84.374    0.3147    0.0470    0.0273
1     0.021     7.510    1.6790    0.2230    0.1668
1     0.057    20.384    1.4022    0.1883    0.0871
1     0.101    36.119    1.1095    0.1536    0.0474
1     0.167    59.721    0.8959    0.1360    0.0760
1     0.326   116.581    0.3054    0.0508    0.0343
1     0.015     0.766    0.3622    0.0994    0.0305
1     0.042     2.144    0.3688    0.1032    0.0343
1     0.072     3.675    0.3367    0.0919    0.0284
1     0.114     5.819    0.2666    0.0706    0.0147
1     0.207    10.565    0.0797    0.0185    0.0121
1     0.015     1.270    0.4438    0.0965    0.0229
1     0.042     3.556    0.5038    0.1082    0.0449
1     0.072     6.097    0.5559    0.1201    0.0420
1     0.114     9.653    0.2950    0.0581    0.0175
1     0.207    17.528    0.1526    0.0314    0.0137
1     0.015     1.702    0.5388    0.1423    0.1289
1     0.042     4.766    0.4840    0.1136    0.0786
1     0.072     8.171    0.4539    0.1033    0.0391
1     0.114    12.938    0.4037    0.0966    0.0363
1     0.207    23.492    0.1427    0.0357    0.0147
1     0.015     1.413    0.7666    0.1826    0.0755
1     0.042     3.956    0.7388    0.1802    0.0995
1     0.072     6.783    0.7282    0.1795    0.0496
1     0.114    10.739    0.4271    0.1006    0.0264
1     0.207    19.500    0.1585    0.0349    0.0222
1     0.015     2.344    1.1747    0.3059    0.0497
1     0.042     6.564    0.9226    0.2273    0.0587
1     0.072    11.252    0.7230    0.1763    0.1220
1     0.114    17.816    0.6265    0.1591    0.0725
1     0.207    32.351    0.2228    0.0562    0.0202
1     0.015     3.142    0.7770    0.1676    0.0543
1     0.042     8.797    1.0767    0.2389    0.1045
1     0.072    15.081    0.7158    0.1600    0.0785
1     0.114    23.878    0.5268    0.1207    0.0260
1     0.207    43.358    0.2286    0.0604    0.0196
1     0.015     2.229    1.0216    0.2329    0.1452
1     0.042     6.242    1.0366    0.2376    0.1412
1     0.072    10.701    0.7125    0.1569    0.1133
1     0.114    16.944    0.4523    0.0999    0.0417
1     0.207    30.766    0.2777    0.0619    0.0300
1     0.015     3.699    1.2327    0.3232    0.4047
1     0.042    10.356    1.0396    0.2672    0.0937
1     0.072    17.754    0.8291    0.2159    0.0954
1     0.114    28.110    0.5616    0.1426    0.1371
1     0.207    51.042    0.2762    0.0744    0.0400
1     0.015     4.957    0.9120    0.1873    0.0729
1     0.042    13.880    1.2103    0.2621    0.1017
1     0.072    23.794    1.0088    0.2288    0.0445
1     0.114    37.675    0.4794    0.1067    0.0476
1     0.207    68.409    0.1843    0.0458    0.0236
